RefID,Author,Year,Publication,Country,Source,Discipline,InTitle,Variation,Question,Protocol,DateSearch,ListSource,Platform,DatabaseCount,Database,SearchStrategy,SearchString,SearchFilter,SearchQuality,LibrarianAuthor,LibrarianConsulted,Criteria,Flowchart,Assessment,Reliability
1,Abadi,2020,"INTEGRATING CIRCULAR ECONOMY AND CONSTRUCTABILITY RESEARCH: AN INITIAL DEVELOPMENT OF A LIFECYCLE ""CIRCULARITY"" ASSESSMENT FRAMEWORK AND INDICATORS",United Kingdom,Conference on Association of Researchers in Construction Management,Civil,no,neither,no,no,yes,yes,na,3,Google Scholar;Scopus;Web of Science,yes,no,no,low,no,no,no,yes,no,no
2,Abbasi,2021,Third-generation biofuel supply chain: A comprehensive review and future research directions,Iran,Journal of Cleaner Production,Industrial,no,neither,no,no,yes,yes,na,2,Scopus;Web of Science,yes,no,no,low,no,no,yes,no,no,no
3,Abbasnejad,2020,Building Information Modelling (BIM) adoption and implementation enablers in AEC firms: a systematic literature review,Australia,Architectural Engineering & Design Management,Civil,yes,systematic review,yes,no,no,yes,na,3,Google Scholar;Web of Science;Scopus,yes,no,no,low,no,no,yes,yes,yes,no
4,Abbate,2022,A Survey on the Integration between Additive Manufacturing and Maintenance,Italy,Macromolecular Symposia,Industrial,no,neither,yes,no,yes,yes,na,2,Scopus;Web of Science,yes,yes,no,low,no,no,yes,no,no,no
5,Abdalazeem,2022,Review on integrated photovoltaic-green roof solutions on urban and energy-efficient buildings in hot climate,Egypt,Sustainable Cities & Society,Environmental,no,neither,yes,no,no,yes,na,1,Scopus,yes,no,no,low,no,no,no,yes,no,no
6,Abdallah,2020,Artificial intelligence applications in solid waste management: A systematic research review,United Arab Emirates,Waste Management,Environmental,yes,systematic review,yes,no,no,yes,na,5,Scopus;Google Scholar;IEEE Xplore;ScienceDirect;Web of Science,yes,no,no,low,no,no,no,yes,yes,no
7,Abdallah,2022,A State-of-the-Art Review of Bridge Inspection Planning: Current Situation and Future Needs,United States,Journal of Bridge Engineering,Civil,no,neither,no,no,yes,yes,na,6,Compendex;Web of Science;IEEE Xplore;Scopus;ScienceDirect;Google Scholar,yes,no,no,low,no,no,yes,yes,no,no
8,Abdel-Halim,2018,Prediction-based protocols for vehicular Ad Hoc Networks: Survey and taxonomy,Egypt,Computer Networks,Electrical,no,neither,yes,no,no,yes,na,4,IEEE Xplore;ACM Digital Library;SpringerLink;ScienceDirect,yes,yes,yes,high,no,no,no,no,no,no
9,Abdelmegid,2020,Barriers to adopting simulation modelling in construction industry,New Zealand,Automation in Construction,Civil,no,neither,yes,no,no,yes,na,2,Scopus;ProQuest Dissertations & Theses,yes,yes,yes,high,no,no,yes,yes,no,no
10,Abdelmegid,2020,The roles of conceptual modelling in improving construction simulation studies: A comprehensive review,New Zealand,Advanced Engineering Informatics,Civil,no,neither,yes,no,no,yes,na,2,Scopus;ProQuest,yes,yes,yes,low,no,no,yes,yes,no,no
